"decade","Araceae","Bromeliaceae","Orchidaceae","Piperaceae","Polypodiaceae","Total"
1880,30,15,209,80,103,437
1890,60,45,449,139,312,1005
1900,120,99,1065,276,782,2342
1910,91,124,1360,183,526,2284
1920,130,136,1946,251,685,3148
1930,318,226,3345,532,813,5234
1940,420,293,2402,702,942,4759
1950,249,1043,2315,647,630,4884
1960,871,1958,5606,1385,2056,11876
1970,3930,5230,16059,3177,5335,33731
1980,7962,12455,27736,6539,11081,65773
1990,6907,15097,19220,4789,11143,57156
2000,5374,14681,18991,4864,14203,58113
2010,3329,9076,14096,3588,9819,39908
2020,148,157,722,98,334,1459
