"Provincias","n_cells","median_n","median_sr","mean_n"
"Guatuso-Talamanca province",26,958,292.5,1503.84615384615
"Cauca province",39,481,225,815.512820512821
"Puerto Rico province",4,391.5,92,329.5
"Atlantic province",94,362,152.5,588.436170212766
"Paramo province",67,233,142,634.194029850746
"Puntarenas-Chiriqui province",12,214,108.5,1618.66666666667
"Jamaica province",4,210.5,106.5,297
"Chiapas Highlands province",43,175,108,464.162790697674
"Chapada Diamantina province",18,138.5,40,261.055555555556
"Veracruzan province",83,138,66,458.55421686747
"Southern Espinhaco province",16,132,48,311.25
"Transmexican Volcanic Belt province",29,119,44,745.034482758621
"Araucaria Forest province",76,107,51,231.894736842105
"Sierra Madre del Sur province",31,102,65,235.870967741935
"Trinidad province",2,98,68,98
"Mosquito province",31,93,68,201.548387096774
"Napo province",53,86,49,235.735849056604
"Hispaniola province",24,85.5,40.5,138.541666666667
"Western Ecuador province",22,82.5,60,167.136363636364
"Yungas province",99,82,41,285.171717171717
"Choco-Darien province",25,79,50,228.08
"Lesser Antilles province",1,76,57,76
"Comechingones province",2,74.5,21,74.5
"Venezuelan province",13,62,42,74.7692307692308
"Ucayali province",38,60,39.5,176.421052631579
"Balsas Basin province",16,55,29.5,109.875
"Magdalena province",43,55,43,245.790697674419
"Parana Forest province",182,50.5,31,184.593406593407
"Caatinga province",112,47.5,16,95.6785714285714
"Sierra Madre Oriental province",18,47,21,256.111111111111
"Pacific Lowlands province",69,46,28,220.36231884058
"Guianan Lowlands province",97,45,27,65.7628865979381
"Puna province",33,44,23,101.878787878788
"Imeri province",83,36,21,65.710843373494
"Guajira province",28,34,23,69.2857142857143
"Cuban province",22,30.5,22,69.5
"Galapagos Islands province",3,28,9,33.3333333333333
"Guianan province",126,28,20,72.8888888888889
"Cerrado province",160,27.5,14.5,60.7375
"Roraima province",83,27,15,43.566265060241
"Ecuadorian province",5,26,25,38.2
"Para province",23,26,12,39.3478260869565
"Yucatan Peninsula Province",40,26,16.5,54.575
"Rondonia province",118,25,14.5,56.1779661016949
"Monte province",10,24.5,13,28.3
"Pampean province",44,24,13,51.7727272727273
"Chaco province",76,21.5,11.5,37.1710526315789
"Madeira province",75,21,14,40.44
"Xingu-Tapajos province",48,21,15,54.4166666666667
"Sabana province",26,20,13.5,66.4615384615385
"Sierra Madre Occidental province",18,19.5,9.5,35.1666666666667
"Esteros del Ibera province",11,15,10,29
"Bahama province",1,14,11,14
"Desert province",6,14,9.5,15.6666666666667
"Cuyan High Andean province",1,10,7,10
