"Area";"Records";"Observed.richness";"Richness";"Slope";"Completeness";"Ratio"
"Sinaloan dry forests";307;141;176,749660798362;0,234527687296406;79,7738447491871;2,17730496453901
"Veracruz moist forests";8;8;NA;NA;NA;1
"Amazon-Orinoco-Southern Caribbean mangroves";58;58;NA;NA;NA;1
"Costa Rican seasonal moist forests";1116;846;1845,36080963706;0,51612903225805;45,8446931126922;1,31914893617021
"Santa Marta montane forests";64;64;NA;NA;NA;1
"Rio Negro campinarana";41;41;NA;NA;NA;1
"Apure-Villavicencio dry forests";119;97;269,939855927401;0,630252100840337;35,9339304182217;1,22680412371134
"Oaxacan montane forests";2525;1309;1665,90120979923;0,0368316831684297;78,5760879636889;1,92895339954163
"Hispaniolan moist forests";989;294;307,781994067206;0,107178968655205;95,5221571330139;3,36394557823129
"Hispaniolan dry forests";183;134;266,721832913184;0,469945355191271;50,2396067605069;1,36567164179104
"Miskito pine forests";17;17;NA;NA;NA;1
"Northern Mesoamerican Pacific mangroves";8;8;NA;NA;NA;1
"Trans-Mexican Volcanic Belt pine-oak forests";243;151;233,294599935811;0,358024691358025;64,7250300870858;1,60927152317881
"Balsas dry forests";421;205;262,414517854239;0,266033254156781;78,1206778025403;2,05365853658537
"Pantanos de Centla";347;186;252,444095381557;0,299711815561977;73,6796793440029;1,86559139784946
"Talamancan montane forests";942;942;NA;NA;NA;1
"Puerto Rican moist forests";310;164;210,966602916678;0,222580645161287;77,7374227639114;1,89024390243902
"Jamaican moist forests";399;238;346,96263479172;0,310776942355886;68,5952826427176;1,67647058823529
"Cordillera de Merida páramo";278;249;1208,75475543102;0,791366906474821;20,5997121319462;1,11646586345382
"Pantepui";4;4;NA;NA;NA;1
"Uatuma-Trombetas moist forests";1746;366;363,087393783302;0,0750286368843263;100,802177730917;4,77049180327869
"Ucayali moist forests";932;519;767,796183035901;0,353004291845536;67,5960640944906;1,79576107899807
"Isthmian-Atlantic moist forests";3891;1424;1605,94132113965;0,166024158314031;88,6707366735829;2,73244382022472
"Guajira-Barranquilla xeric scrub";58;46;111,960239405019;0,586206896551722;41,0860143247763;1,26086956521739
"Central American pine-oak forests";213;213;NA;NA;NA;1
"Cauca Valley montane forests";4255;1915;2291,55004626942;0,104347826086951;83,5678890416367;2,22193211488251
"Guianan piedmont and lowland moist forests";1242;445;503,832463018099;0,172302737520113;88,3230106560273;2,79101123595506
"Pantepui";73;73;NA;NA;NA;1
"Bahamian pine mosaic";11;11;NA;NA;NA;1
"Sierra Madre del Sur pine-oak forests";767;319;371,327634880747;0,186440677966118;85,9079610658247;2,40438871473354
"Chimalapas montane forests";256;256;NA;NA;NA;1
"Sierra Madre de Oaxaca pine-oak forests";138;138;NA;NA;NA;1
"South American Pacific mangroves";5;5;NA;NA;NA;1
"Caqueta moist forests";1011;277;291,095527878867;0,104846686449036;95,1577655687199;3,64981949458484
"Guianan savanna";34;31;173,058142128986;0,823529411764707;17,9130548950969;1,09677419354839
"Pantepui";5;5;NA;NA;NA;1
"Northern Andean páramo";449;389;1485,46828914692;0,732739420935388;26,1870282147455;1,15424164524422
"Galápagos Islands scrubland mosaic";18;10;12,9363357399472;0,111111111111111;77,3016424513484;1,8
"Ecuadorian dry forests";294;202;367,608895027521;0,459183673469397;54,9497040828888;1,45544554455446
"Marajó varzeá";154;84;118,389995896077;0,311688311688314;70,9519409678292;1,83333333333333
"Yucatán moist forests";6;6;NA;NA;NA;1
"Hispaniolan dry forests";10;10;NA;NA;NA;1
"Amazon-Orinoco-Southern Caribbean mangroves";24;24;NA;NA;NA;1
"Orinoco Delta swamp forests";108;65;98,4122002100735;0,370370370370367;66,0487214606005;1,66153846153846
"Cordillera La Costa montane forests";116;116;NA;NA;NA;1
"Catatumbo moist forests";108;95;415,951470255699;0,777777777777786;22,8392028381581;1,13684210526316
"Venezuelan Andes montane forests";706;417;634,996837208615;0,37818696883852;65,6696184240999;1,69304556354916
"Isthmian-Pacific moist forests";3086;2042;3617,6425145853;0,458846403110783;56,4455993583456;1,51126346718903
"Atacama desert";37;2;NA;NA;NA;18,5
"Southern Atlantic mangroves";188;147;351,418508110478;0,563829787234056;41,8304661272384;1,27891156462585
"Southern Andean Yungas";170;81;99,4458912845265;0,229411764705887;81,4513289123724;2,09876543209877
"Bolivian montane dry forests";60;48;125,496761390958;0,633333333333333;38,2479989666558;1,25
"Southern Andean Yungas";20;20;NA;NA;NA;1
"Alto Paraná Atlantic forests";952;438;539,417916748877;0,232142857142833;81,1986377167201;2,17351598173516
"Bahamian-Antillean mangroves";4;4;NA;NA;NA;1
"Caribbean shrublands";5;5;NA;NA;NA;1
"Guianan savanna";458;267;402,165274975025;0,362445414847173;66,3906151560651;1,71535580524345
"Guianan freshwater swamp forests";45;33;71,1971244405806;0,577777777777776;46,3501865549936;1,36363636363636
"Hispaniolan pine forests";73;73;NA;NA;NA;1
"Central American montane forests";111;111;NA;NA;NA;1
"Talamancan montane forests";939;939;NA;NA;NA;1
"Isthmian-Atlantic moist forests";215;215;NA;NA;NA;1
"Magdalena Valley montane forests";4284;2132;2992,55303879778;0,330298786181174;71,2435158996047;2,0093808630394
"Apure-Villavicencio dry forests";98;72;182,167975010032;0,571428571428569;39,5239613307635;1,36111111111111
"Guianan savanna";6;6;NA;NA;NA;1
"Marajó varzeá";31;19;26,868005243177;0,322580645161288;70,7160796941745;1,63157894736842
"Cuban dry forests";609;225;249,719753279626;0,154351395730714;90,101002041298;2,70666666666667
"Veracruz montane forests";58;58;NA;NA;NA;1
"Panamanian dry forests";18;18;NA;NA;NA;1
"Pantepui";128;128;NA;NA;NA;1
"Amazon-Orinoco-Southern Caribbean mangroves";31;31;NA;NA;NA;1
"Pantepui";14;14;NA;NA;NA;1
"Rio Negro campinarana";16;15;NA;NA;NA;1,06666666666667
"Cuban moist forests";69;69;NA;NA;NA;1
"Cuban pine forests";49;41;127,046031821102;0,673469387755105;32,2717674942682;1,19512195121951
"Bahamian pine mosaic";5;5;NA;NA;NA;1
"Cuban wetlands";11;11;NA;NA;NA;1
"Bahamian-Antillean mangroves";4;4;NA;NA;NA;1
"Cuban pine forests";16;16;NA;NA;NA;1
"Jalisco dry forests";448;231;296,023953607764;0,245535714285722;78,0342256715072;1,93939393939394
"Yucatán moist forests";520;132;133,34909580392;0,076923076923066;98,9882977490127;3,93939393939394
"Yucatán dry forests";5;5;NA;NA;NA;1
"Yucatán dry forests";25;25;NA;NA;NA;1
"Trans-Mexican Volcanic Belt pine-oak forests";15;14;99,2504748837718;0,866666666666667;14,1057259588882;1,07142857142857
"Trans-Mexican Volcanic Belt pine-oak forests";2;2;NA;NA;NA;1
"Cuban moist forests";81;68;215,720771008971;0,679012345679013;31,5222311147646;1,19117647058824
"Trans-Mexican Volcanic Belt pine-oak forests";1167;388;426,120594345752;0,152527849185958;91,0540361457346;3,00773195876289
"Cuban moist forests";77;77;NA;NA;NA;1
"Mesoamerican Gulf-Caribbean mangroves";14;14;NA;NA;NA;1
"Miskito pine forests";35;34;580,357821268247;0,942857142857143;5,85845469019446;1,02941176470588
"Eastern Cordillera real montane forests";11716;3779;4101,91414288298;0,101229088425953;92,1277205803235;3,1002910822969
"South American Pacific mangroves";17;17;NA;NA;NA;1
"Amazon-Orinoco-Southern Caribbean mangroves";4;4;NA;NA;NA;1
"Rio Negro campinarana";33;28;92,3603522608482;0,696969696969695;30,3160385539903;1,17857142857143
"Central Andean wet puna";2;1;NA;NA;NA;2
"Veracruz dry forests";1535;1420;9718,51973706728;0,854071661237867;14,6112786557813;1,08098591549296
"Tehuacán Valley matorral";171;121;232,762361725722;0,485380116959064;51,9843496615581;1,41322314049587
"Petén-Veracruz moist forests";7560;1740;1818,55553307118;0,0314814814814781;95,6803335591012;4,3448275862069
"Sierra Madre del Sur pine-oak forests";41;41;NA;NA;NA;1
"Sierra Madre de Oaxaca pine-oak forests";2136;1413;2667,37371299198;0,511235955056236;52,9734544926231;1,51167728237792
"Sierra Madre del Sur pine-oak forests";4;4;NA;NA;NA;1
"Mesoamerican Gulf-Caribbean mangroves";48;48;NA;NA;NA;1
"Sierra de los Tuxtlas";1232;1232;NA;NA;NA;1
"Hispaniolan moist forests";76;66;253,313972345559;0,736842105263165;26,0546228022377;1,15151515151515
"Sierra Madre del Sur pine-oak forests";366;245;421,2869861198;0,428961748633867;58,1551313171421;1,49387755102041
"Mesoamerican Gulf-Caribbean mangroves";55;42;92,2745827810938;0,527272727272731;45,5163260934358;1,30952380952381
"Southern Pacific dry forests";465;286;450,382109045792;0,389247311827944;63,5016343357727;1,62587412587413
"Central American pine-oak forests";3;3;NA;NA;NA;1
"Llanos";1508;903;1577,09643498477;0,418435013262638;57,2571201081131;1,66998892580288
"Talamancan montane forests";2923;1342;1602,11914396481;0,200478959972543;83,7640574395057;2,17809239940387
"Guianan moist forests";3206;467;453,363938073338;0,0486587648159684;103,00775178207;6,86509635974304
"Panamanian dry forests";59;59;NA;NA;NA;1
"Northeastern Brazil restingas";5;5;NA;NA;NA;1
"Iquitos varzeá";7;7;NA;NA;NA;1
"Caatinga Enclaves moist forests";121;121;NA;NA;NA;1
"Beni savanna";10;10;NA;NA;NA;1
"Beni savanna";8;8;NA;NA;NA;1
"Central American pine-oak forests";3870;858;854,067194335683;0,0710594315245316;100,460479654341;4,51048951048951
"Chiapas Depression dry forests";1028;493;609,088903515055;0,217898832684796;80,9405650234136;2,08519269776876
"Central American pine-oak forests";1307;1307;NA;NA;NA;1
"Chiapas montane forests";409;409;NA;NA;NA;1
