"Species";"Longitude";"Latitude";"Records"
"Tillandsia_bryoides";-65,25;-41,75;4
"Tillandsia_gilliesii";-65,25;-41,75;1
"Tillandsia_bryoides";-65,25;-40,75;1
"Tillandsia_bryoides";-65,25;-38,25;1
"Tillandsia_gilliesii";-65,25;-38,25;1
"Tillandsia_bryoides";-62,25;-38,25;1
"Tillandsia_bergeri";-58,25;-37,75;1
"Gomesa_bifolia";-60,25;-36,25;1
"Pleopeltis_minima";-59,25;-36,25;1
"Pleopeltis_minima";-59,25;-35,75;1
"Tillandsia_gilliesii";-68,25;-35,25;1
"Acianthera_recurva";-64,75;-35,25;1
"Aechmea_bromeliifolia";-64,75;-35,25;1
"Aechmea_distichantha";-64,75;-35,25;1
"Aechmea_recurvata";-64,75;-35,25;1
"Brassavola_perrinii";-64,75;-35,25;1
"Cyrtopodium_punctatum";-64,75;-35,25;1
"Encyclia_oncidioides";-64,75;-35,25;1
"Epidendrum_paniculatum";-64,75;-35,25;1
"Gomesa_bifolia";-64,75;-35,25;1
"Gomesa_longipes";-64,75;-35,25;1
"Grandiphyllum_divaricatum";-64,75;-35,25;1
"Isochilus_linearis";-64,75;-35,25;1
"Liparis_vexillifera";-64,75;-35,25;1
"Melpomene_flabelliformis";-64,75;-35,25;1
"Microgramma_squamulosa";-64,75;-35,25;1
"Microgramma_vacciniifolia";-64,75;-35,25;1
"Oeceoclades_maculata";-64,75;-35,25;1
"Peperomia_aceroana";-64,75;-35,25;1
"Peperomia_blanda";-64,75;-35,25;1
"Peperomia_lilloi";-64,75;-35,25;1
"Peperomia_lorentzii";-64,75;-35,25;1
"Peperomia_pellucida";-64,75;-35,25;1
"Peperomia_pereskiifolia";-64,75;-35,25;1
"Peperomia_polystachya";-64,75;-35,25;1
"Peperomia_tetraphylla";-64,75;-35,25;1
"Peperomia_urocarpa";-64,75;-35,25;1
"Phlebodium_aureum";-64,75;-35,25;1
"Pleopeltis_macrocarpa";-64,75;-35,25;1
"Pleopeltis_minima";-64,75;-35,25;1
"Pleopeltis_pleopeltifolia";-64,75;-35,25;1
"Pleopeltis_polypodioides";-64,75;-35,25;1
"Pleopeltis_pycnocarpa";-64,75;-35,25;1
"Pleopeltis_tweedieana";-64,75;-35,25;1
"Polypodiodes_amoena";-64,75;-35,25;1
"Tillandsia_aeranthos";-64,75;-35,25;1
"Tillandsia_aizoides";-64,75;-35,25;1
"Tillandsia_angulosa";-64,75;-35,25;1
"Tillandsia_bandensis";-64,75;-35,25;1
"Tillandsia_bryoides";-64,75;-35,25;1
"Tillandsia_capillaris";-64,75;-35,25;1
"Tillandsia_duratii";-64,75;-35,25;1
"Tillandsia_gilliesii";-64,75;-35,25;1
"Tillandsia_ixioides";-64,75;-35,25;1
"Tillandsia_loliacea";-64,75;-35,25;1
"Tillandsia_lorentziana";-64,75;-35,25;1
"Tillandsia_myosura";-64,75;-35,25;1
"Tillandsia_rectangula";-64,75;-35,25;1
"Tillandsia_recurvata";-64,75;-35,25;1
"Tillandsia_recurvifolia";-64,75;-35,25;1
"Tillandsia_reichenbachii";-64,75;-35,25;1
"Tillandsia_retorta";-64,75;-35,25;1
"Tillandsia_tenuifolia";-64,75;-35,25;1
"Tillandsia_tricholepis";-64,75;-35,25;1
"Tillandsia_usneoides";-64,75;-35,25;1
"Tillandsia_xiphioides";-64,75;-35,25;1
"Trichocentrum_pumilum";-64,75;-35,25;1
"Vriesea_friburgensis";-64,75;-35,25;1
"Vriesea_gigantea";-64,75;-35,25;1
"Pleopeltis_pleopeltifolia";-57,25;-35,25;1
"Tillandsia_bryoides";-68,25;-34,75;1
"Gomesa_bifolia";-58,25;-34,75;1
"Microgramma_mortoniana";-58,25;-34,75;1
"Tillandsia_myosura";-58,25;-34,75;1
"Microgramma_squamulosa";-57,75;-34,75;2
"Gomesa_bifolia";-55,25;-34,75;1
"Microgramma_squamulosa";-55,25;-34,75;2
"Peperomia_tetraphylla";-55,25;-34,75;2
"Pleopeltis_macrocarpa";-55,25;-34,75;1
"Pleopeltis_pleopeltifolia";-55,25;-34,75;1
"Tillandsia_recurvata";-58,75;-34,25;2
"Microgramma_mortoniana";-58,25;-34,25;2
"Pleopeltis_minima";-58,25;-34,25;1
"Pleopeltis_hirsutissima";-57,25;-34,25;1
"Microgramma_squamulosa";-56,75;-34,25;3
"Microgramma_vacciniifolia";-56,75;-34,25;1
"Pleopeltis_pleopeltifolia";-56,75;-34,25;1
"Tillandsia_aeranthos";-56,25;-34,25;1
"Microgramma_squamulosa";-55,25;-34,25;1
"Pleopeltis_pleopeltifolia";-55,25;-34,25;2
"Tillandsia_aeranthos";-55,25;-34,25;1
"Campyloneurum_nitidum";-54,75;-34,25;1
"Microgramma_squamulosa";-54,75;-34,25;4
"Peperomia_catharinae";-54,75;-34,25;1
"Pleopeltis_hirsutissima";-54,75;-34,25;1
"Pleopeltis_macrocarpa";-54,75;-34,25;3
"Pleopeltis_pleopeltifolia";-54,75;-34,25;4
"Microgramma_squamulosa";-54,25;-34,25;6
"Peperomia_catharinae";-54,25;-34,25;5
"Pleopeltis_hirsutissima";-54,25;-34,25;1
"Pleopeltis_macrocarpa";-54,25;-34,25;8
"Pleopeltis_pleopeltifolia";-54,25;-34,25;3
"Serpocaulon_catharinae";-54,25;-34,25;2
"Microgramma_squamulosa";-53,75;-34,25;3
"Peperomia_catharinae";-53,75;-34,25;2
"Peperomia_tetraphylla";-53,75;-34,25;1
"Pleopeltis_macrocarpa";-53,75;-34,25;5
"Pleopeltis_pleopeltifolia";-53,75;-34,25;2
"Serpocaulon_catharinae";-53,75;-34,25;1
"Serpocaulon_latipes";-53,75;-34,25;1
"Acianthera_hygrophila";-68,75;-33,75;3
"Tillandsia_aizoides";-66,75;-33,75;1
"Tillandsia_myosura";-66,75;-33,75;1
"Tillandsia_recurvata";-59,25;-33,75;1
"Microgramma_mortoniana";-58,25;-33,75;4
"Pleopeltis_minima";-58,25;-33,75;3
"Pleopeltis_pleopeltifolia";-58,25;-33,75;1
"Microgramma_squamulosa";-54,75;-33,75;3
"Peperomia_catharinae";-54,75;-33,75;2
"Pleopeltis_pleopeltifolia";-54,75;-33,75;3
"Campyloneurum_nitidum";-53,75;-33,75;1
"Gomesa_bifolia";-53,75;-33,75;1
"Microgramma_squamulosa";-53,75;-33,75;4
"Microgramma_vacciniifolia";-53,75;-33,75;3
"Peperomia_tetraphylla";-53,75;-33,75;2
"Peperomia_trineuroides";-53,75;-33,75;1
